Cell_ID,GAPDH,ACTB,IL8,IL6,CCL11,COL1A1,NANOG,SOX9,EEF2,SPP1,RUNX1,PDL1
exp1_bm_084_1,2415,4787,2,229,11,3731,6,241,1283,87,133,10
exp1_bm_085_1,1920,1959,15,9,0,774,6,33,609,39,100,35
exp1_bm_085_2,1326,1008,7,3,2,766,4,30,744,24,65,5
exp1_bm_085_3,1228,910,7,18,2,1771,5,59,719,22,63,7
exp1_bm_086_1,2405,736,9,12,3,1938,1,34,1252,35,165,11
exp1_bm_087_1,868,1430,6,2,7,820,5,18,461,25,61,3
exp1_bm_088_1,1384,2146,2,18,4,527,0,24,657,19,201,6
exp1_bm_088_2,1326,1749,3,11,4,2032,4,47,865,32,50,7
exp1_bm_089_1,1284,669,3,8,1,1654,0,112,694,29,71,5
exp1_bm_089_2,1029,1737,2,2,1,1257,0,50,625,57,39,3
exp1_bm_089_3,1847,2243,12,6,2,1037,3,33,888,149,43,2
exp1_bm_090_1,1181,760,1,14,0,504,3,5,501,12,74,5
exp1_bm_090_2,1154,1244,1,6,0,1062,2,96,608,18,79,4
exp1_bm_090_3,959,578,1,25,1,1479,2,12,697,15,74,5
exp1_bm_090_4,2111,1545,4,41,2,2646,1,36,1281,39,87,22
exp1_bm_091_1,1419,1935,8,7,5,470,3,10,611,17,54,13
exp1_bm_091_2,1318,1235,0,9,3,360,2,13,745,17,81,5
exp1_bm_091_3,2111,3450,2,82,7,2787,2,31,1057,161,67,15
exp1_bm_092_1,1300,1995,5,30,3,2877,4,37,1045,77,38,4
exp1_bm_092_2,2110,2236,7,7,6,403,10,37,893,29,27,64
exp1_bm_092_3,1950,2279,3,17,11,1586,17,84,1018,55,70,77
exp1_bm_092_4,1348,1297,1,210,4,1613,4,36,855,70,44,5
exp1_bm_093_1,2826,3492,6,13,11,2419,7,57,1460,112,82,11
exp1_bm_093_2,790,874,0,6,0,695,1,6,465,5,38,2
exp1_bm_093_3,1692,2052,6,11,2,955,3,34,702,15,75,25
exp1_bm_094_1,1837,2247,7,12,3,1632,7,44,1009,34,64,21
exp1_bm_094_2,1553,2426,2,5,1,2397,1,83,1187,142,79,9
exp1_bm_094_3,1784,1593,9,14,5,1736,7,49,1042,38,81,9
exp1_bm_095_1,1747,2051,17,13,6,960,1,27,777,34,114,10
exp1_bm_095_2,1380,973,6,12,2,15,1,18,485,19,40,5
exp1_bm_095_3,1500,1555,6,7,2,77,1,9,650,27,39,6
exp1_bm_095_4,1606,1303,16,27,1,555,1,14,652,22,93,6
